,DBA,fetched_restaurant,similarity_index,sentiment_score,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link,violation_score
40403880,CAFE 101 16TH FLOOR CAFETERIA,Cafeteria,47.0,0.7832554999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
40404024,THE PENN CLUB,The Phillips Club,67.0,0.6152714285714286,Yes,,,No,,,,,,,,,,,,,,,,,,,Free,,,,,,,,,,,,,,Ultra High-End,,4.5,7.0,https://www.yelp.com/biz/the-phillips-club-new-york?start=0,14.666666666666666
40424933,CREATIVE CAKES,Creative Cakes,100.0,0.925725,No,,,,,,,,,,,,,,Street,Yes,,,,,,,,,,,,,,,,,,,,,Ultra High-End,A,5.0,4.0,https://www.yelp.com/biz/creative-cakes-new-york-2?start=0,3.0
40482586,BOOTH THEATER,Booth Theatre,92.0,0.6034799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,A,4.0,75.0,https://www.yelp.com/biz/booth-theatre-new-york-2?start=0,3.6666666666666665
40482593,SHUBERT THEATER,Shubert Theater,100.0,0.7064953488372093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,4.0,43.0,https://www.yelp.com/biz/shubert-theater-new-haven?start=0,10.0
40483602,NEDERLANDER THEATER BA,New World Stages,47.0,0.7756175000000001,,,,,,Yes,,,,No,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,A,4.0,209.0,https://www.yelp.com/biz/new-world-stages-new-york?start=0,16.666666666666668
40483696,BROOKS ATKINSON THEATER,Brooks Atkinson Theatre,96.0,0.6701602040816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,A,3.5,98.0,https://www.yelp.com/biz/brooks-atkinson-theatre-new-york?start=0,8.666666666666666
40483697,LUNT FONTANNE THEATER,Lunt-Fontanne Theatre,90.0,0.6480384615384616,,,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,A,3.5,92.0,https://www.yelp.com/biz/lunt-fontanne-theatre-new-york?start=0,7.333333333333333
40510335,DEVON & BLAKELY,Devon & Blakely,100.0,0.4020552631578948,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3.0,38.0,https://www.yelp.com/biz/devon-and-blakely-new-york-4?start=0,5.0
40511479,CIBAR,Cibar,100.0,0.7233964999999999,Yes,,,,Full Bar,,,,,,,Yes,No,Yes,Street,Yes,,,Yes,,,,No,,,Intimate,,"Thu, Fri, Sat",,Yes,,,DJ,Average,,No,Pricey,,4.0,284.0,https://www.yelp.com/biz/cibar-new-york?start=0,19.0
40512297,BARRACUDA BAR,Barracuda,82.0,0.5326016666666666,No,,,,Full Bar,,,,,,,Yes,Yes,No,Street,No,,,,,,,,,,Divey,,,,Yes,,,DJ,Average,,Yes,Moderate,A,3.0,120.0,https://www.yelp.com/biz/barracuda-new-york?start=0,18.25
